Genome,jk18x11,jk18x1bz,jk18x22,jk18x25,jk18x27,jk18x34,jk18x40,jk18x44,jk18x7,jk18x8,jk18x9,jk18xA,p16x33,p16x34,p16x43,p16x44,p16x57,p16x60,p16x63,p16x65
unmapped,44.086945,45.736427,23.364931,31.468414,44.87511,20.727562,70.028046,88.71422,31.536377,46.781933,17.160862,45.32443,51.68595,42.067535,31.084389,62.96003,45.33838,30.315613,28.181124,45.84088
jk18x22bins.76,0,0,0.685712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16x44bins.13,0,0,0.042013142,0.024429938,0.019583112,0.14930834,0.0163696,0,0.006315491,0,0,0,0.07969033,0.13377906,1.2438201,0.394275,0.11438443,0.34222993,0.133944,0.1006711
p16x60bins.66,0.019662661,0,0,0.020589326,0.10995889,0.29387447,0,0,0.019712824,0.017935745,0,0,0.04226131,0.1007695,0.01932563,0.020465828,1.0422915,2.4338055,0,0
p16x60bins.63,0,0,0.016965257,0.017758632,0,0,0,0,0,0,0.004415525,0,0,0,0.009241244,0.041018624,0,0.9898241,0,0
p16x60bins.32,0,0,0.23264293,0.07975406,0.013302749,0.025559649,0,0,0.014140102,0,0.0142295025,0,0.01203627,0.00880771,0.08665475,0.09808671,0.28284907,0.84313625,0,0
jk18x1bzbins.85,0.09290087,0.75936586,0.21085401,0.27247873,0.25799966,0.22378565,0.19918418,0.04606342,0.19841845,0.09130944,0.18090358,0.23314369,0.30594298,0.25677696,0.338025,0.1760884,0.18910973,0.15986733,0.27156538,0.2205659
jk18x27bins.2,0,0,0.019688098,0.010409693,0.25160354,0.018111117,0.020585403,0,0,0,0,0,0.0315757,0,0.060265772,0.028581563,0.018371457,0.015182565,0.0125303455,0
jk18x22bins.52,0.12670392,0,1.1570855,0.7190015,0.5497018,0.10142373,0.009283104,0,0.30360815,0.1940061,0.4087535,0,0.013183853,0.011291761,0.036541987,0.02214008,0.021306496,0.08766072,0.033367235,0.012754731
jk18x34bins.57,0,0,0.036481973,0.28780717,0.086576484,0.3129702,0,0,0.016400654,0,0,0.014672113,0.00832238,0.027451124,0.009647129,0,0,0,0,0
jk18xAbins.27,0,0.06390139,0.020609898,0.021254772,0.0148169985,0.022230405,0,0,0.04176554,0,0.11180477,0.21217333,0.023390293,0.01768618,0.025318647,0.008693797,0,0,0.016560188,0
