"proteins" "proteins"
"jk18x34bins.36.filtered" 3684 3684
"jk18x27bins.68.filtered" 1616 1616
"jk18x27bins.49.filtered" 3706 3706
"jk18x34bins.47.filtered" 2433 2433
"jk18x34bins.42.filtered" 1939 1939
"jk18x34bins.63.filtered" 2863 2863
"jk18x34bins.64.filtered" 4090 4090
"jk18x27bins.44.filtered" 4238 4238
"jk18x27bins.69.filtered" 3273 3273
"jk18x27bins.12.filtered" 3132 3132
"jk18x34bins.29.filtered" 3430 3430
"jk18x34bins.57.filtered" 4749 4749
"jk18x34bins.15.filtered" 2135 2135
"jk18x34bins.26.filtered" 4385 4385
"jk18x27bins.16.filtered" 3282 3282
"jk18x34bins.3.filtered" 2954 2954
"jk18x27bins.35.filtered" 3633 3633
"jk18x34bins.59.filtered" 1624 1624
"jk18x27bins.72.filtered" 3566 3566
"jk18x27bins.27.filtered" 3350 3350
"jk18x34bins.19.filtered" 3571 3571
"jk18x27bins.46.filtered" 3598 3598
"jk18x34bins.13.filtered" 2744 2744
"jk18x34bins.51.filtered" 3896 3896
"jk18x27bins.38.filtered" 3149 3149
"jk18x27bins.37.filtered" 3546 3546
"jk18x34bins.37.filtered" 3195 3195
"jk18x27bins.25.filtered" 3623 3623
"jk18x34bins.12.filtered" 4631 4631
"jk18x27bins.56.filtered" 4566 4566
"jk18x27bins.53.filtered" 4563 4563
"jk18x34bins.62.filtered" 3203 3203
"jk18x34bins.7.filtered" 4203 4203
"jk18x27bins.66.filtered" 2366 2366
"jk18x34bins.53.filtered" 4577 4577
"jk18x27bins.2.filtered" 2264 2264
"jk18x27bins.51.filtered" 3870 3870
"jk18x27bins.47.filtered" 3776 3776
"jk18x34bins.24.filtered" 4698 4698
"jk18x27bins.7.filtered" 4433 4433
"jk18x34bins.55.filtered" 2690 2690
"jk18x27bins.63.filtered" 3934 3934
"jk18x34bins.43.filtered" 3481 3481
"jk18x34bins.22.filtered" 2828 2828
"jk18x27bins.71.filtered" 2297 2297
"jk18x27bins.21.filtered" 2844 2844
"jk18x27bins.67.filtered" 3603 3603
"jk18x34bins.52.filtered" 3202 3202
"jk18x27bins.36.filtered" 4920 4920
"jk18x27bins.11.filtered" 3794 3794
"jk18x25bins.86.filtered" 2987 2987
"jk18x25bins.51.filtered" 3605 3605
"jk18x22bins.63.filtered" 4175 4175
"jk18x25bins.9.filtered" 2699 2699
"jk18x22bins.35.filtered" 4796 4796
"jk18x25bins.8.filtered" 3217 3217
"jk18x25bins.56.filtered" 4108 4108
"jk18x22bins.2.filtered" 4883 4883
"jk18x22bins.41.filtered" 5922 5922
"jk18x22bins.97.filtered" 3049 3049
"jk18x22bins.3.filtered" 4354 4354
"jk18x25bins.14.filtered" 3360 3360
"jk18x22bins.47.filtered" 4235 4235
"jk18x25bins.41.filtered" 2885 2885
"jk18x25bins.18.filtered" 3843 3843
"jk18x22bins.85.filtered" 3544 3544
"jk18x25bins.70.filtered" 4594 4594
"jk18x22bins.14.filtered" 4007 4007
"jk18x25bins.60.filtered" 4272 4272
"jk18x25bins.17.filtered" 3224 3224
"jk18x25bins.33.filtered" 2448 2448
"jk18x25bins.82.filtered" 3946 3946
"jk18x22bins.10.filtered" 4302 4302
"jk18x22bins.70.filtered" 3163 3163
"jk18x22bins.39.filtered" 3444 3444
"jk18x22bins.33.filtered" 3248 3248
"jk18x22bins.71.filtered" 2326 2326
"jk18x22bins.31.filtered" 4483 4483
"jk18x25bins.57.filtered" 3797 3797
"jk18x22bins.16.filtered" 4848 4848
"jk18x22bins.101.filtered" 4025 4025
"jk18x22bins.65.filtered" 2206 2206
"jk18x25bins.39.filtered" 5301 5301
"jk18x22bins.55.filtered" 3355 3355
"jk18x22bins.99.filtered" 3035 3035
"jk18x25bins.28.filtered" 3370 3370
"jk18x22bins.50.filtered" 3469 3469
"jk18x25bins.58.filtered" 4327 4327
"jk18x22bins.6.filtered" 3458 3458
"jk18x25bins.22.filtered" 3791 3791
"jk18x25bins.43.filtered" 4454 4454
"jk18x22bins.18.filtered" 2953 2953
"jk18x22bins.66.filtered" 3005 3005
"jk18x22bins.40.filtered" 1971 1971
"jk18x22bins.80.filtered" 2658 2658
"jk18x25bins.29.filtered" 5414 5414
"jk18x22bins.76.filtered" 4356 4356
"jk18x25bins.61.filtered" 2391 2391
"jk18x22bins.30.filtered" 3161 3161
"jk18x22bins.103.filtered" 3409 3409
"jk18x22bins.20.filtered" 3509 3509
"jk18x25bins.25.filtered" 3197 3197
"jk18x25bins.87.filtered" 2829 2829
"jk18x22bins.106.filtered" 3224 3224
"jk18x22bins.90.filtered" 3757 3757
"jk18x25bins.66.filtered" 3147 3147
"jk18x22bins.75.filtered" 5532 5532
"jk18x22bins.7.filtered" 5282 5282
"jk18x22bins.107.filtered" 3424 3424
"jk18x22bins.52.filtered" 2533 2533
"jk18x22bins.60.filtered" 2462 2462
"jk18x25bins.5.filtered" 3942 3942
"jk18x11bins.53.filtered" 3706 3706
"jk18x11bins.34.filtered" 2631 2631
"jk18x11bins.2.filtered" 2370 2370
"jk18x8bins.21.filtered" 2727 2727
"jk18x11bins.26.filtered" 3816 3816
"jk18x8bins.13.filtered" 4990 4990
"jk18x11bins.51.filtered" 3691 3691
"jk18x11bins.4.filtered" 3716 3716
"jk18x8bins.2.filtered" 2366 2366
"jk18x8bins.7.filtered" 4698 4698
"jk18x11bins.7.filtered" 4927 4927
"jk18x11bins.24.filtered" 4336 4336
"jk18x11bins.12.filtered" 4081 4081
"jk18x11bins.54.filtered" 3573 3573
"jk18x8bins.28.filtered" 4137 4137
"jk18x11bins.6.filtered" 1640 1640
"jk18x8bins.27.filtered" 3740 3740
"jk18x8bins.29.filtered" 2151 2151
"jk18x11bins.48.filtered" 3032 3032
"jk18x11bins.40.filtered" 3961 3961
"jk18x8bins.18.filtered" 3635 3635
"jk18x11bins.22.filtered" 1804 1804
"p16x43bins.5.filtered" 4430 4430
"p16x43bins.13.filtered" 3268 3268
"p16x44bins.42.filtered" 3273 3273
"p16x44bins.54.filtered" 4897 4897
"p16x43bins.62.filtered" 4215 4215
"p16x43bins.45.filtered" 4114 4114
"p16x44bins.4.filtered" 4562 4562
"p16x43bins.35.filtered" 2972 2972
"p16x43bins.60.filtered" 2470 2470
"p16x44bins.6.filtered" 3260 3260
"p16x44bins.21.filtered" 3692 3692
"p16x43bins.48.filtered" 3034 3034
"p16x44bins.9.filtered" 2361 2361
"p16x43bins.66.filtered" 2323 2323
"p16x43bins.1.filtered" 2916 2916
"p16x43bins.54.filtered" 3395 3395
"p16x44bins.53.filtered" 3796 3796
"p16x43bins.26.filtered" 4671 4671
"p16x44bins.48.filtered" 3968 3968
"p16x44bins.24.filtered" 5123 5123
"p16x43bins.9.filtered" 1577 1577
"p16x43bins.65.filtered" 2773 2773
"p16x44bins.17.filtered" 2747 2747
"p16x43bins.30.filtered" 5468 5468
"p16x43bins.55.filtered" 3540 3540
"p16x44bins.23.filtered" 1720 1720
"p16x44bins.13.filtered" 3382 3382
"p16x43bins.4.filtered" 3062 3062
"p16x44bins.19.filtered" 4009 4009
"p16x43bins.57.filtered" 3605 3605
"jk18xAbins.50.filtered" 4331 4331
"jk18x1bzbins.19.filtered" 3330 3330
"jk18xAbins.63.filtered" 4526 4526
"jk18xAbins.60.filtered" 3285 3285
"jk18xAbins.3.filtered" 2597 2597
"jk18x1bzbins.25.filtered" 4928 4928
"jk18xAbins.6.filtered" 3635 3635
"jk18x1bzbins.7.filtered" 3663 3663
"jk18x1bzbins.73.filtered" 3438 3438
"jk18xAbins.67.filtered" 4073 4073
"jk18x1bzbins.18.filtered" 4679 4679
"jk18x1bzbins.37.filtered" 4454 4454
"jk18x1bzbins.29.filtered" 3760 3760
"jk18xAbins.44.filtered" 3036 3036
"jk18xAbins.2.filtered" 4811 4811
"jk18xAbins.49.filtered" 3139 3139
"jk18xAbins.45.filtered" 3885 3885
"jk18xAbins.52.filtered" 2810 2810
"jk18x1bzbins.87.filtered" 2691 2691
"jk18x1bzbins.11.filtered" 4620 4620
"jk18x1bzbins.24.filtered" 4348 4348
"jk18x1bzbins.67.filtered" 3685 3685
"jk18xAbins.24.filtered" 4707 4707
"jk18xAbins.18.filtered" 3467 3467
"jk18x1bzbins.57.filtered" 2419 2419
"jk18x1bzbins.88.filtered" 5386 5386
"jk18xAbins.20.filtered" 2815 2815
"jk18x1bzbins.61.filtered" 3071 3071
"jk18xAbins.29.filtered" 3042 3042
"jk18x1bzbins.79.filtered" 3970 3970
"jk18x1bzbins.63.filtered" 3572 3572
"jk18x1bzbins.77.filtered" 2833 2833
"jk18xAbins.51.filtered" 2350 2350
"jk18xAbins.27.filtered" 5974 5974
"jk18x1bzbins.27.filtered" 4448 4448
"jk18x1bzbins.41.filtered" 2770 2770
"jk18xAbins.42.filtered" 2980 2980
"jk18x1bzbins.72.filtered" 4318 4318
"jk18x1bzbins.42.filtered" 5047 5047
"jk18x1bzbins.74.filtered" 3205 3205
"jk18x1bzbins.64.filtered" 3283 3283
"jk18x1bzbins.48.filtered" 4548 4548
"jk18xAbins.11.filtered" 1491 1491
"jk18x1bzbins.34.filtered" 4499 4499
"jk18xAbins.61.filtered" 1847 1847
"jk18xAbins.40.filtered" 2529 2529
"jk18x1bzbins.85.filtered" 5832 5832
"jk18x1bzbins.36.filtered" 4505 4505
"jk18xAbins.10.filtered" 3329 3329
"jk18x1bzbins.78.filtered" 5142 5142
"jk18x1bzbins.28.filtered" 3180 3180
"jk18x1bzbins.81.filtered" 4103 4103
"jk18x1bzbins.55.filtered" 4671 4671
"jk18xAbins.19.filtered" 4723 4723
"jk18xAbins.25.filtered" 4983 4983
"jk18x1bzbins.83.filtered" 3610 3610
