GCA_002701375.1_ASM270137v1	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_C_s__Synechococcus_C
GCA_011087905.1_ASM1108790v1	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_C_s__Synechococcus_C
GCA_002698505.1_ASM269850v1	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_C_s__Synechococcus_C
GCA_001007635.1_ASM100763v1	d__Bacteria_p__Cyanobacteria_c__Cyanobacteriia_o__Synechococcales_f__Cyanobiaceae_g__Synechococcus_B_s__Synechococcus_B
GCA_002700145.1_ASM270014v1	d__Bacteria_p__Actinobacteriota_c__Actinobacteria_o__Mycobacteriales_f__Mycobacteriaceae_g__Gordonia_s__Gordonia
GCA_002702785.1_ASM270278v1	d__Bacteria_p__Actinobacteriota_c__Actinobacteria_o__Actinomycetales_f__Microbacteriaceae_g__UBA1487_s__UBA1487
GCA_002698575.1_ASM269857v1	d__Bacteria_p__Actinobacteriota_c__Actinobacteria_o__Propionibacteriales_f__Nocardioidaceae_g__Nocardioides_s__Nocardioides
GCA_002699445.1_ASM269944v1	d__Bacteria_p__Actinobacteriota_c__Actinobacteria_o__Nanopelagicales_f__GCA-2699445_g__GCA-2699445_s__GCA-2699445
GCA_002720045.1_ASM272004v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__MedAcidi-G1_g__UBA9410_s__UBA9410
GCA_002699725.1_ASM269972v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__MedAcidi-G1_g__S20-B6_s__S20-B6
GCA_002697965.1_ASM269796v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__MedAcidi-G1_g__MedAcidi-G1_s__MedAcidi-G1
GCA_002699455.1_ASM269945v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__UBA8592_g__MedAcidi-G2A_s__MedAcidi-G2A
GCA_002239105.1_ASM223910v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__Bin134_g__Bin134_s__Bin134
GCA_002702085.1_ASM270208v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g__MedAcidi-G3_s__MedAcidi-G3
GCA_002722565.1_ASM272256v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g__MedAcidi-G3_s__MedAcidi-G3
GCA_002708935.1_ASM270893v1	d__Bacteria_p__Actinobacteriota_c__Acidimicrobiia_o__Microtrichales_f__TK06_g__MedAcidi-G3_s__MedAcidi-G3
