VXNF01000058_1_,GCA_009840735.1,Actinobacteriota,Acidimicrobiia,Microtrichales,Bin134,,
k141_367051,p16x60bins.27,Acidobacteriota,Acidobacteriae,Bryobacterales,UBA6623,,
VXVH01000129_1_,GCA_009836525.1,Proteobacteria,Alphaproteobacteria,Bin65,Bin65,Bin65,
k141_562141,jk18x11bins.24,Proteobacteria,Alphaproteobacteria,Bin65,Bin65,Bin65,
k141_772177,jk18x1bzbins.75,Proteobacteria,Alphaproteobacteria,UBA828,UBA828,,
k141_125794,jk18x22bins.31,Proteobacteria,Alphaproteobacteria,Bin95,Bin95,Bin95,
k141_813214,jk18x22bins.41,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus,
k141_179676,jk18x25bins.22,Proteobacteria,Alphaproteobacteria,Bin65,Bin65,Bin65,
k141_593342,jk18x25bins.8,Proteobacteria,Alphaproteobacteria,Rhodospirillales_A,,,
k141_1351695,jk18x27bins.11,Proteobacteria,Alphaproteobacteria,Bin65,Bin65,Bin65,
k141_1081210,jk18x27bins.25,Proteobacteria,Alphaproteobacteria,UBA828,UBA828,,
k141_433742,jk18x27bins.37,Proteobacteria,Alphaproteobacteria,Rhodospirillales_A,,,
k141_239276,jk18x34bins.12,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus,
k141_508719,jk18x34bins.29,Proteobacteria,Alphaproteobacteria,Rhodospirillales_A,,,
k141_469756,jk18x7bins.59,Proteobacteria,Alphaproteobacteria,UBA828,UBA828,,
k141_98869,jk18x8bins.7,Proteobacteria,Alphaproteobacteria,Bin95,Bin95,Bin95,
k141_221715,jk18x9bins.84,Proteobacteria,Alphaproteobacteria,Rhodospirillales_A,,,
k141_431810,jk18x9bins.88,Proteobacteria,Alphaproteobacteria,Bin95,Bin95,Bin95,
k141_1014631,jk18xAbins.48,Proteobacteria,Alphaproteobacteria,Bin95,Bin95,Bin95,
k141_1017789,p16x33bins.28,Proteobacteria,Alphaproteobacteria,Bin95,Bin95,Bin95,
k141_18952,p16x34bins.31,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus,
k141_406038,p16x43bins.26,Proteobacteria,Alphaproteobacteria,Bin95,Bin95,Bin95,
k141_63071,p16x43bins.5,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Silicimonas,
k141_524271,p16x44bins.53,Proteobacteria,Alphaproteobacteria,Bin65,Bin65,Bin65,
k141_205191,p16x44bins.6,Proteobacteria,Alphaproteobacteria,UBA7887,,,
